Profile Summary
Generated on: 2022-06-30 14:48:13
Msec since Epoch: 1656568093191
Profiled application: app.exe
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.743
Build version branch: 2020.2
Build version hash: 77d5484b5c4daa691a7f78235053fb036829b1e9
Build version date: N/A 
Target devices: xilinx_u200_xdma_201830_2-0
Flow mode: Software Emulation

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clWaitForEvents,1,36.4149,36.4149,36.4149,36.4149,
clCreateProgramWithBinary,1,11.8652,11.8652,11.8652,11.8652,
clCreateKernel,6,2.22725,0.364236,0.371209,0.399746,
clSetKernelArg,10,2.06262,0.00246,0.206262,1.92917,
clEnqueueTask,6,0.548069,0.02843,0.0913448,0.253774,
clEnqueueMigrateMemObjects,3,0.162382,0.01849,0.0541273,0.099442,
clReleaseEvent,5,0.03367,0.00241,0.006734,0.01378,
clReleaseMemObject,5,0.030399,0.00242,0.0060798,0.01997,
clGetExtensionFunctionAddress,2,0.028011,0.00703,0.0140055,0.020981,
clCreateContext,1,0.01714,0.01714,0.01714,0.01714,
clCreateBuffer,5,0.01677,0.00266,0.003354,0.00516,
clReleaseKernel,6,0.01632,0.00237,0.00272,0.0031,
clGetPlatformInfo,6,0.013841,0.002121,0.00230683,0.00283,
clGetExtensionFunctionAddressForPlatform,2,0.00826,0.00245,0.00413,0.00581,
clCreateCommandQueue,1,0.00562,0.00562,0.00562,0.00562,
clReleaseContext,2,0.00551,0.00273,0.002755,0.00278,
clBuildProgram,1,0.00503,0.00503,0.00503,0.00503,
clSetEventCallback,1,0.00486,0.00486,0.00486,0.00486,
clReleaseCommandQueue,1,0.0046,0.0046,0.0046,0.0046,
clGetDeviceIDs,1,0.0039,0.0039,0.0039,0.0039,
clReleaseProgram,1,0.00371,0.00371,0.00371,0.00371,
clReleaseDevice,1,0.00287,0.00287,0.00287,0.00287,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
determin,1,36.5457,36.5457,36.5457,36.5457,
hdis4096_set_1,1,36.6164,36.6164,36.6164,36.6164,
hdis96_set_1,1,36.7618,36.7618,36.7618,36.7618,
hid_bound_set_1,1,36.7931,36.7931,36.7931,36.7931,
judge_index_set_1,1,36.7403,36.7403,36.7403,36.7403,
switch_set_1,1,36.8567,36.8567,36.8567,36.8567,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),
xilinx_u200_xdma_201830_2-0,determin,determin,1:1:1,1:1:1,1,No,0,1.000000x,119.154,119.154,119.154,119.154,300,
xilinx_u200_xdma_201830_2-0,hdis4096_set_1,hdis4096_set_1,1:1:1,1:1:1,1,No,0,1.000000x,119.126,119.126,119.126,119.126,300,
xilinx_u200_xdma_201830_2-0,hdis96_set_1,hdis96_set_1,1:1:1,1:1:1,1,No,0,1.000000x,119.221,119.221,119.221,119.221,300,
xilinx_u200_xdma_201830_2-0,hid_bound_set_1,hid_bound_set_1,1:1:1,1:1:1,1,No,0,1.000000x,119.261,119.261,119.261,119.261,300,
xilinx_u200_xdma_201830_2-0,judge_index_set_1,judge_index_set_1,1:1:1,1:1:1,1,No,0,1.000000x,119.289,119.289,119.289,119.289,300,
xilinx_u200_xdma_201830_2-0,switch_set_1,switch_set_1,1:1:1,1:1:1,1,No,0,1.000000x,119.204,119.204,119.204,119.204,300,


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
94760785036944,switch_set_1,0,0,xilinx_u200_xdma_201830_2-0,82.3508,36.8567,1:1:1,1:1:1,
94760785036416,hid_bound_set_1,0,0,xilinx_u200_xdma_201830_2-0,82.4761,36.7931,1:1:1,1:1:1,
94760785038800,hdis96_set_1,0,0,xilinx_u200_xdma_201830_2-0,82.4638,36.7618,1:1:1,1:1:1,
94760785039008,judge_index_set_1,0,0,xilinx_u200_xdma_201830_2-0,82.556,36.7403,1:1:1,1:1:1,
94760785039216,hdis4096_set_1,0,0,xilinx_u200_xdma_201830_2-0,82.5168,36.6164,1:1:1,1:1:1,
94760785039424,determin,0,0,xilinx_u200_xdma_201830_2-0,82.6104,36.5457,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
34359738368,0,0,80.1858,N/A,1093.57,N/A,
17180811264,0,0,82.364,N/A,0.512,N/A,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
17180815360,0,0,119.184,N/A,0.004,N/A,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,xilinx_u200_xdma_201830_2-0,36.945530,
CU_CALLS,xilinx_u200_xdma_201830_2-0|determin,1,
CU_CALLS,xilinx_u200_xdma_201830_2-0|hdis4096_set_1,1,
CU_CALLS,xilinx_u200_xdma_201830_2-0|hdis96_set_1,1,
CU_CALLS,xilinx_u200_xdma_201830_2-0|hid_bound_set_1,1,
CU_CALLS,xilinx_u200_xdma_201830_2-0|judge_index_set_1,1,
CU_CALLS,xilinx_u200_xdma_201830_2-0|switch_set_1,1,
MIGRATE_MEM,host,3,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[1],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|DDR[2],1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|hlsaxisapuint10,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|hlsaxisapuint32,1,
MEMORY_USAGE,xilinx_u200_xdma_201830_2-0|hlsaxisapuint96,1,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,1,
P2P_DEVICE,all,1,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,judge_index_set_1/complete_stream_in,1,
PORT_BIT_WIDTH,judge_index_set_1/count_stream_in,32,
PORT_BIT_WIDTH,judge_index_set_1/fp32_stream_out,32,
PORT_BIT_WIDTH,judge_index_set_1/haming_stream_in,32,
PORT_BIT_WIDTH,judge_index_set_1/index_stream_out,32,
PORT_BIT_WIDTH,judge_index_set_1/locate_stream_in,32,
PORT_BIT_WIDTH,judge_index_set_1/m_axi_db_judge_set_1,32,
PORT_BIT_WIDTH,judge_index_set_1/m_axi_table_judge_set_1,32,
PORT_BIT_WIDTH,determin/complete_stream_in1_1,1,
PORT_BIT_WIDTH,determin/complete_stream_in1_2,1,
PORT_BIT_WIDTH,determin/complete_stream_out1_1,1,
PORT_BIT_WIDTH,determin/complete_stream_out1_2,1,
PORT_BIT_WIDTH,determin/index_stream_in1,32,
PORT_BIT_WIDTH,determin/m_axi_judge_determin_set_1,32,
PORT_BIT_WIDTH,switch_set_1/complete_stream_in,1,
PORT_BIT_WIDTH,switch_set_1/end_stream_in,32,
PORT_BIT_WIDTH,switch_set_1/flame96_stream_out,96,
PORT_BIT_WIDTH,switch_set_1/m_axi_db_switch_set_1,32,
PORT_BIT_WIDTH,switch_set_1/m_axi_table_switch_set_1,32,
PORT_BIT_WIDTH,switch_set_1/top_stream_in,32,
PORT_BIT_WIDTH,hid_bound_set_1/complete_stream_in,1,
PORT_BIT_WIDTH,hid_bound_set_1/complete_stream_out,1,
PORT_BIT_WIDTH,hid_bound_set_1/complete_stream_out1,1,
PORT_BIT_WIDTH,hid_bound_set_1/complete_stream_out2,1,
PORT_BIT_WIDTH,hid_bound_set_1/complete_stream_out3,1,
PORT_BIT_WIDTH,hid_bound_set_1/end_stream_out_1,32,
PORT_BIT_WIDTH,hid_bound_set_1/end_stream_out_2,32,
PORT_BIT_WIDTH,hid_bound_set_1/flame_stream_out,96,
PORT_BIT_WIDTH,hid_bound_set_1/m_axi_pointer_hid_set_1,32,
PORT_BIT_WIDTH,hid_bound_set_1/m_axi_query_hid_set_1,32,
PORT_BIT_WIDTH,hid_bound_set_1/top_stream_out_1,32,
PORT_BIT_WIDTH,hid_bound_set_1/top_stream_out_2,32,
PORT_BIT_WIDTH,hdis96_set_1/complete_stream_in,1,
PORT_BIT_WIDTH,hdis96_set_1/count_stream_out,32,
PORT_BIT_WIDTH,hdis96_set_1/end_stream_in,32,
PORT_BIT_WIDTH,hdis96_set_1/flame96_stream_in1,96,
PORT_BIT_WIDTH,hdis96_set_1/flame96_stream_in2,96,
PORT_BIT_WIDTH,hdis96_set_1/locate_stream_out,32,
PORT_BIT_WIDTH,hdis96_set_1/top_stream_in,32,
PORT_BIT_WIDTH,hdis4096_set_1/complete_stream_in,1,
PORT_BIT_WIDTH,hdis4096_set_1/complete_stream_out,1,
PORT_BIT_WIDTH,hdis4096_set_1/fp32_stream_in,32,
PORT_BIT_WIDTH,hdis4096_set_1/haming_stream_out,32,
PORT_BIT_WIDTH,hdis4096_set_1/m_axi_query_hd4096_set_1,32,
KERNEL_COUNT,determin,1,
KERNEL_COUNT,hdis4096_set_1,1,
KERNEL_COUNT,hdis96_set_1,1,
KERNEL_COUNT,hid_bound_set_1,1,
KERNEL_COUNT,judge_index_set_1,1,
KERNEL_COUNT,switch_set_1,1,
OBJECTS_RELEASED,all,0,
TRACE_MEMORY,all,NA,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,determin,1,
MAX_PARALLEL_KERNEL_ENQUEUES,hdis4096_set_1,1,
MAX_PARALLEL_KERNEL_ENQUEUES,hdis96_set_1,1,
MAX_PARALLEL_KERNEL_ENQUEUES,hid_bound_set_1,1,
MAX_PARALLEL_KERNEL_ENQUEUES,judge_index_set_1,1,
MAX_PARALLEL_KERNEL_ENQUEUES,switch_set_1,1,
COMMAND_QUEUE_OOO,94760781901680,1,
KERNEL_BUFFER_INFO,hid_bound_set_1|query|DDR[1]|0,512,
KERNEL_BUFFER_INFO,hid_bound_set_1|hash_table_pointer|DDR[1]|1,32768,
KERNEL_BUFFER_INFO,switch_set_1|FP_DB|hlsaxisapuint10|1,153600,
KERNEL_BUFFER_INFO,switch_set_1|hash_table|DDR[1]|1,907200,
KERNEL_BUFFER_INFO,judge_index_set_1|FP_DB|hlsaxisapuint10|1,153600,
KERNEL_BUFFER_INFO,judge_index_set_1|hash_table|DDR[1]|1,907200,
