Timeline Trace
Generated on: 2022-07-03 13:36:04
Msec since Epoch: 1656822964391
Profiled application: app.exe
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.743
Build version branch: 2020.2
Build version hash: 77d5484b5c4daa691a7f78235053fb036829b1e9
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
1.97204,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
1.98357,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
1.98958,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
1.99218,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
1.994991,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
1.99744,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
1.999921,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
2.002061,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
2.004841,clGetPlatformInfo|General,START,,,,,,,,,,,4,
2.007591,clGetPlatformInfo|General,END,,,,,,,,,,,4,
2.009791,clGetPlatformInfo|General,START,,,,,,,,,,,5,
2.012041,clGetPlatformInfo|General,END,,,,,,,,,,,5,
2.014311,clGetPlatformInfo|General,START,,,,,,,,,,,6,
2.016571,clGetPlatformInfo|General,END,,,,,,,,,,,6,
2.018661,clGetPlatformInfo|General,START,,,,,,,,,,,7,
2.020801,clGetPlatformInfo|General,END,,,,,,,,,,,7,
2.028061,clGetPlatformInfo|General,START,,,,,,,,,,,8,
2.030391,clGetPlatformInfo|General,END,,,,,,,,,,,8,
2.033101,clGetPlatformInfo|General,START,,,,,,,,,,,9,
2.035411,clGetPlatformInfo|General,END,,,,,,,,,,,9,
2.045281,clGetDeviceIDs|General,START,,,,,,,,,,,10,
2.048781,clGetDeviceIDs|General,END,,,,,,,,,,,10,
2.051571,clGetDeviceIDs|General,START,,,,,,,,,,,11,
2.053941,clGetDeviceIDs|General,END,,,,,,,,,,,11,
2.060412,clRetainDevice|General,START,,,,,,,,,,,12,
2.063041,clRetainDevice|General,END,,,,,,,,,,,12,
2.065702,clRetainDevice|General,START,,,,,,,,,,,13,
2.067932,clRetainDevice|General,END,,,,,,,,,,,13,
2.070172,clCreateContext|General,START,,,,,,,,,,,14,
2.087582,clCreateContext|General,END,,,,,,,,,,,14,
2.61769,clCreateProgramWithBinary|General,START,,,,,,,,,,,15,
11.827351,clCreateProgramWithBinary|General,END,,,,,,,,,,,15,
11.837362,clCreateCommandQueue|General,START,,,,,,,,,,,16,
11.843651,clCreateCommandQueue|General,END,,,,,,,,,,,16,
11.846332,clCreateKernel|General,START,,,,,,,,,,,17,
12.232817,clCreateKernel|General,END,,,,,,,,,,,17,
12.235518,clCreateKernel|General,START,,,,,,,,,,,18,
12.602263,clCreateKernel|General,END,,,,,,,,,,,18,
12.604773,clCreateKernel|General,START,,,,,,,,,,,19,
12.971679,clCreateKernel|General,END,,,,,,,,,,,19,
12.974169,clCreateKernel|General,START,,,,,,,,,,,20,
13.361175,clCreateKernel|General,END,,,,,,,,,,,20,
13.364025,clCreateKernel|General,START,,,,,,,,,,,21,
13.72719,clCreateKernel|General,END,,,,,,,,,,,21,
13.73146,clCreateBuffer|General,START,,,,,,,,,,,22,
13.73744,clCreateBuffer|General,END,,,,,,,,,,,22,
13.7398,clCreateBuffer|General,START,,,,,,,,,,,23,
13.742851,clCreateBuffer|General,END,,,,,,,,,,,23,
13.745181,clCreateBuffer|General,START,,,,,,,,,,,24,
13.747901,clCreateBuffer|General,END,,,,,,,,,,,24,
13.750161,clCreateBuffer|General,START,,,,,,,,,,,25,
13.752711,clCreateBuffer|General,END,,,,,,,,,,,25,
13.754951,clCreateBuffer|General,START,,,,,,,,,,,26,
13.757541,clCreateBuffer|General,END,,,,,,,,,,,26,
13.759761,clCreateBuffer|General,START,,,,,,,,,,,27,
13.762321,clCreateBuffer|General,END,,,,,,,,,,,27,
13.765281,clSetKernelArg|General,START,,,,,,,,,,,28,
13.789681,clSetKernelArg|General,END,,,,,,,,,,,28,
13.792531,clSetKernelArg|General,START,,,,,,,,,,,29,
13.795351,clSetKernelArg|General,END,,,,,,,,,,,29,
13.797821,clSetKernelArg|General,START,,,,,,,,,,,30,
13.810382,clSetKernelArg|General,END,,,,,,,,,,,30,
13.812992,clSetKernelArg|General,START,,,,,,,,,,,31,
13.834442,clSetKernelArg|General,END,,,,,,,,,,,31,
13.837382,clEnqueueMapBuffer|94419084987776,START,,,,,,,,,,,32,
13.932563,clEnqueueMapBuffer|94419084987776,END,,,,,,,,,,,32,
13.939674,clEnqueueMapBuffer|94419084987776,START,,,,,,,,,,,33,
13.953374,clEnqueueMapBuffer|94419084987776,END,,,,,,,,,,,33,
13.956404,clEnqueueMapBuffer|94419084987776,START,,,,,,,,,,,34,
13.965934,clEnqueueMapBuffer|94419084987776,END,,,,,,,,,,,34,
13.969324,clSetKernelArg|General,START,,,,,,,,,,,35,
13.989244,clSetKernelArg|General,END,,,,,,,,,,,35,
13.992004,clSetKernelArg|General,START,,,,,,,,,,,36,
13.994534,clSetKernelArg|General,END,,,,,,,,,,,36,
13.996834,clSetKernelArg|General,START,,,,,,,,,,,37,
14.018775,clSetKernelArg|General,END,,,,,,,,,,,37,
14.021245,clSetKernelArg|General,START,,,,,,,,,,,38,
14.023705,clSetKernelArg|General,END,,,,,,,,,,,38,
14.025995,clSetKernelArg|General,START,,,,,,,,,,,39,
14.040455,clSetKernelArg|General,END,,,,,,,,,,,39,
14.042915,clSetKernelArg|General,START,,,,,,,,,,,40,
14.045345,clSetKernelArg|General,END,,,,,,,,,,,40,
14.047565,clSetKernelArg|General,START,,,,,,,,,,,41,
14.049855,clSetKernelArg|General,END,,,,,,,,,,,41,
14.052035,clSetKernelArg|General,START,,,,,,,,,,,42,
14.054345,clSetKernelArg|General,END,,,,,,,,,,,42,
14.056545,clSetKernelArg|General,START,,,,,,,,,,,43,
14.058845,clSetKernelArg|General,END,,,,,,,,,,,43,
14.061415,clRetainMemObject|General,START,,,,,,,,,,,44,
14.064705,clRetainMemObject|General,END,,,,,,,,,,,44,
14.067185,clRetainMemObject|General,START,,,,,,,,,,,45,
14.069665,clRetainMemObject|General,END,,,,,,,,,,,45,
14.071936,clRetainMemObject|General,START,,,,,,,,,,,46,
14.074346,clRetainMemObject|General,END,,,,,,,,,,,46,
14.077316,clRetainMemObject|General,START,,,,,,,,,,,47,
14.079696,clRetainMemObject|General,END,,,,,,,,,,,47,
14.081926,clRetainMemObject|General,START,,,,,,,,,,,48,
14.084266,clRetainMemObject|General,END,,,,,,,,,,,48,
14.086506,clRetainMemObject|General,START,,,,,,,,,,,49,
14.088816,clRetainMemObject|General,END,,,,,,,,,,,49,
14.092046,clEnqueueMigrateMemObjects|94419084987776,START,,,,,,,,,,,50,
14.098506,WRITE_BUFFER,QUEUE,0X800000000|DDR[1],1093568,,,,,,,,,
14.104606,WRITE_BUFFER,SUBMIT,0X800000000|DDR[1],1093568,,,,,,,,,
14.113226,clEnqueueMigrateMemObjects|94419084987776,END,,,,,,,,,,,50,
14.116356,clReleaseMemObject|General,START,,,,,,,,,,,51,
14.119776,clReleaseMemObject|General,END,,,,,,,,,,,51,
14.122316,clReleaseMemObject|General,START,,,,,,,,,,,52,
14.125026,clReleaseMemObject|General,END,,,,,,,,,,,52,
14.127966,clReleaseMemObject|General,START,,,,,,,,,,,53,
14.130956,clReleaseMemObject|General,END,,,,,,,,,,,53,
14.133617,clReleaseMemObject|General,START,,,,,,,,,,,54,
14.136066,clReleaseMemObject|General,END,,,,,,,,,,,54,
14.138377,clReleaseMemObject|General,START,,,,,,,,,,,55,
14.140847,clReleaseMemObject|General,END,,,,,,,,,,,55,
14.143127,clReleaseMemObject|General,START,,,,,,,,,,,56,
14.145527,clReleaseMemObject|General,END,,,,,,,,,,,56,
14.148317,clRetainEvent|General,START,,,,,,,,,,,57,
14.148777,WRITE_BUFFER,START,0X800000000|DDR[1]|0X7f7c5db5c700,1093568,,,,,,,3,None,
14.152367,clRetainEvent|General,END,,,,,,,,,,,57,
14.180267,clEnqueueTask|94419084987776,START,,,,,,,,,,,58,
14.187017,DEPENDENCY_EVENT,,3,4,
14.192017,WRITE_BUFFER,QUEUE,0X800000000|DDR[1],1060800,,,,,,,,,
14.195497,DEPENDENCY_EVENT,,4,5,
14.225748,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|judge_index_set_1|1:1:1|all,QUEUE,0X55DFA80F2160,1,,,,,,,,,
14.233318,clEnqueueTask|94419084987776,END,,,,,,,,,,,58,
14.236368,clRetainEvent|General,START,,,,,,,,,,,59,
14.238988,clRetainEvent|General,END,,,,,,,,,,,59,
14.244318,clRetainMemObject|General,START,,,,,,,,,,,60,
14.247128,clRetainMemObject|General,END,,,,,,,,,,,60,
14.249678,clRetainMemObject|General,START,,,,,,,,,,,61,
14.252018,clRetainMemObject|General,END,,,,,,,,,,,61,
14.254598,clEnqueueMigrateMemObjects|94419084987776,START,,,,,,,,,,,62,
14.258028,DEPENDENCY_EVENT,,3,6,
14.260358,WRITE_BUFFER,QUEUE,0X400001000|DDR[1],512,,,,,,,,,
14.263548,clEnqueueMigrateMemObjects|94419084987776,END,,,,,,,,,,,62,
14.266259,clReleaseMemObject|General,START,,,,,,,,,,,63,
14.268748,clReleaseMemObject|General,END,,,,,,,,,,,63,
14.271119,clReleaseMemObject|General,START,,,,,,,,,,,64,
14.273469,clReleaseMemObject|General,END,,,,,,,,,,,64,
14.275859,clRetainEvent|General,START,,,,,,,,,,,65,
14.278299,clRetainEvent|General,END,,,,,,,,,,,65,
14.280669,clEnqueueTask|94419084987776,START,,,,,,,,,,,66,
14.284009,DEPENDENCY_EVENT,,6,7,
14.286449,WRITE_BUFFER,QUEUE,0X400001000|DDR[1],512,,,,,,,,,
14.289779,DEPENDENCY_EVENT,,7,8,
14.301839,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis4096_set_1|1:1:1|all,QUEUE,0X55DFA80F2480,1,,,,,,,,,
14.318649,clEnqueueTask|94419084987776,END,,,,,,,,,,,66,
14.321829,clRetainEvent|General,START,,,,,,,,,,,67,
14.324229,clRetainEvent|General,END,,,,,,,,,,,67,
14.326729,clSetKernelArg|General,START,,,,,,,,,,,68,
14.329339,clSetKernelArg|General,END,,,,,,,,,,,68,
14.331629,clSetKernelArg|General,START,,,,,,,,,,,69,
14.333949,clSetKernelArg|General,END,,,,,,,,,,,69,
14.336149,clRetainMemObject|General,START,,,,,,,,,,,70,
14.33874,clRetainMemObject|General,END,,,,,,,,,,,70,
14.34124,clRetainMemObject|General,START,,,,,,,,,,,71,
14.34365,clRetainMemObject|General,END,,,,,,,,,,,71,
14.3462,clEnqueueMigrateMemObjects|94419084987776,START,,,,,,,,,,,72,
14.34947,DEPENDENCY_EVENT,,6,9,
14.35222,WRITE_BUFFER,QUEUE,0X400000000|DDR[1],12,,,,,,,,,
14.35562,clEnqueueMigrateMemObjects|94419084987776,END,,,,,,,,,,,72,
14.35834,clReleaseMemObject|General,START,,,,,,,,,,,73,
14.3609,clReleaseMemObject|General,END,,,,,,,,,,,73,
14.3633,clReleaseMemObject|General,START,,,,,,,,,,,74,
14.36568,clReleaseMemObject|General,END,,,,,,,,,,,74,
14.36809,clRetainEvent|General,START,,,,,,,,,,,75,
14.37051,clRetainEvent|General,END,,,,,,,,,,,75,
14.37289,clEnqueueTask|94419084987776,START,,,,,,,,,,,76,
14.37643,DEPENDENCY_EVENT,,9,10,
14.3791,WRITE_BUFFER,QUEUE,0X400000000|DDR[1],1093580,,,,,,,,,
14.3823,DEPENDENCY_EVENT,,10,11,
14.396741,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hid_bound_set_1|1:1:1|all,QUEUE,0X55DFA80A3300,1,,,,,,,,,
14.401221,clEnqueueTask|94419084987776,END,,,,,,,,,,,76,
14.40389,clEnqueueTask|94419084987776,START,,,,,,,,,,,77,
14.407041,DEPENDENCY_EVENT,,9,12,
14.409191,WRITE_BUFFER,QUEUE,0X400000000|DDR[1],12,,,,,,,,,
14.412321,DEPENDENCY_EVENT,,12,13,
14.427141,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis96_set_1|1:1:1|all,QUEUE,0X55DFA80F2090,1,,,,,,,,,
14.431241,clEnqueueTask|94419084987776,END,,,,,,,,,,,77,
14.433901,clEnqueueTask|94419084987776,START,,,,,,,,,,,78,
14.437111,DEPENDENCY_EVENT,,9,14,
14.439451,DEPENDENCY_EVENT,,14,15,
14.450241,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|determin|1:1:1|all,QUEUE,0X55DFA80F2550,1,,,,,,,,,
14.454381,clEnqueueTask|94419084987776,END,,,,,,,,,,,78,
14.457151,clRetainEvent|General,START,,,,,,,,,,,79,
14.459601,clRetainEvent|General,END,,,,,,,,,,,79,
14.462101,clRetainEvent|General,START,,,,,,,,,,,80,
14.464382,clRetainEvent|General,END,,,,,,,,,,,80,
14.466791,clRetainEvent|General,START,,,,,,,,,,,81,
14.469082,clRetainEvent|General,END,,,,,,,,,,,81,
14.471412,clRetainMemObject|General,START,,,,,,,,,,,82,
14.473842,clRetainMemObject|General,END,,,,,,,,,,,82,
14.476282,clRetainMemObject|General,START,,,,,,,,,,,83,
14.478622,clRetainMemObject|General,END,,,,,,,,,,,83,
14.481192,clEnqueueMigrateMemObjects|94419084987776,START,,,,,,,,,,,84,
14.484362,DEPENDENCY_EVENT,,15,16,
14.486642,READ_BUFFER,QUEUE,0X400002000|DDR[1],4,,,,,,,,,
14.490012,clEnqueueMigrateMemObjects|94419084987776,END,,,,,,,,,,,84,
14.492712,clReleaseMemObject|General,START,,,,,,,,,,,85,
14.495222,clReleaseMemObject|General,END,,,,,,,,,,,85,
14.497642,clReleaseMemObject|General,START,,,,,,,,,,,86,
14.499992,clReleaseMemObject|General,END,,,,,,,,,,,86,
14.502362,clRetainEvent|General,START,,,,,,,,,,,87,
14.504812,clRetainEvent|General,END,,,,,,,,,,,87,
14.507372,clWaitForEvents|General,START,,,,,,,,,,,88,
16.207488,WRITE_BUFFER,END,0X800000000|DDR[1]|0X7f7c5cb5a700,1093568,,,,,,,3,4|6,
16.226318,WRITE_BUFFER,SUBMIT,0X800000000|DDR[1],1060800,,,,,,,,,
16.230338,WRITE_BUFFER,END,0X800000000|DDR[1]|0X7f7c5cb5a700,1060800,,,,,,,4,5,
16.238068,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|judge_index_set_1|1:1:1|all,SUBMIT,0X55DFA80F2160,1,,,,,,,,,
16.246498,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|judge_index_set_1|1:1:1|all,START,0X55DFA80F2160,1,,,,,,,5,None,
16.283829,WRITE_BUFFER,SUBMIT,0X400001000|DDR[1],512,,,,,,,,,
16.291249,WRITE_BUFFER,START,0X400001000|DDR[1]|0X7f7c5cb5a700,512,,,,,,,6,7|9,
16.36685,WRITE_BUFFER,END,0X400001000|DDR[1]|0X7f7c5cb5a700,512,,,,,,,6,7|9,
16.37199,WRITE_BUFFER,SUBMIT,0X400001000|DDR[1],512,,,,,,,,,
16.37519,WRITE_BUFFER,END,0X400001000|DDR[1]|0X7f7c5cb5a700,512,,,,,,,7,8,
16.38075,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis4096_set_1|1:1:1|all,SUBMIT,0X55DFA80F2480,1,,,,,,,,,
16.38516,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis4096_set_1|1:1:1|all,START,0X55DFA80F2480,1,,,,,,,8,None,
16.402881,WRITE_BUFFER,SUBMIT,0X400000000|DDR[1],12,,,,,,,,,
16.410801,WRITE_BUFFER,START,0X400000000|DDR[1]|0X7f7c5cb5a700,12,,,,,,,9,10|12|14,
16.425781,WRITE_BUFFER,END,0X400000000|DDR[1]|0X7f7c5cb5a700,12,,,,,,,9,10|12|14,
16.430661,WRITE_BUFFER,SUBMIT,0X400000000|DDR[1],1093580,,,,,,,,,
16.433651,WRITE_BUFFER,END,0X400000000|DDR[1]|0X7f7c5cb5a700,1093580,,,,,,,10,11,
16.439101,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hid_bound_set_1|1:1:1|all,SUBMIT,0X55DFA80A3300,1,,,,,,,,,
16.443441,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hid_bound_set_1|1:1:1|all,START,0X55DFA80A3300,1,,,,,,,11,None,
16.483472,WRITE_BUFFER,SUBMIT,0X400000000|DDR[1],12,,,,,,,,,
16.486682,WRITE_BUFFER,END,0X400000000|DDR[1]|0X7f7c5cb5a700,12,,,,,,,12,13,
16.491772,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis96_set_1|1:1:1|all,SUBMIT,0X55DFA80F2090,1,,,,,,,,,
16.495632,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis96_set_1|1:1:1|all,START,0X55DFA80F2090,1,,,,,,,13,None,
16.514392,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|determin|1:1:1|all,SUBMIT,0X55DFA80F2550,1,,,,,,,,,
16.518902,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|determin|1:1:1|all,START,0X55DFA80F2550,1,,,,,,,15,16,
16.877048,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hid_bound_set_1|1:1:1|all,END,0X55DFA80A3300,1,,,,,,,11,None,
16.896168,clWaitForEvents|General,END,,,,,,,,,,,88,
16.900108,clWaitForEvents|General,START,,,,,,,,,,,89,
16.902808,clWaitForEvents|General,END,,,,,,,,,,,89,
16.905228,clWaitForEvents|General,START,,,,,,,,,,,90,
16.954949,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis96_set_1|1:1:1|all,END,0X55DFA80F2090,1,,,,,,,13,None,
17.199103,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|judge_index_set_1|1:1:1|all,END,0X55DFA80F2160,1,,,,,,,5,None,
17.210303,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|hdis4096_set_1|1:1:1|all,END,0X55DFA80F2480,1,,,,,,,8,None,
17.220063,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|determin|1:1:1|all,END,0X55DFA80F2550,1,,,,,,,15,16,
17.228033,READ_BUFFER,SUBMIT,0X400002000|DDR[1],4,,,,,,,,,
17.230213,clWaitForEvents|General,END,,,,,,,,,,,90,
17.238393,clWaitForEvents|General,START,,,,,,,,,,,91,
17.244013,READ_BUFFER,START,0X400002000|DDR[1]|0X7f7c5d35b700,4,,,,,,,16,None,
17.275844,READ_BUFFER,END,0X400002000|DDR[1]|0X7f7c5d35b700,4,,,,,,,16,None,
17.284194,clWaitForEvents|General,END,,,,,,,,,,,91,
17.297934,clReleaseEvent|General,START,,,,,,,,,,,92,
17.301774,clReleaseEvent|General,END,,,,,,,,,,,92,
17.304104,clReleaseEvent|General,START,,,,,,,,,,,93,
17.306584,clReleaseEvent|General,END,,,,,,,,,,,93,
17.308774,clReleaseEvent|General,START,,,,,,,,,,,94,
17.311165,clReleaseEvent|General,END,,,,,,,,,,,94,
17.313345,clReleaseEvent|General,START,,,,,,,,,,,95,
17.315605,clReleaseEvent|General,END,,,,,,,,,,,95,
17.317854,clReleaseEvent|General,START,,,,,,,,,,,96,
17.320145,clReleaseEvent|General,END,,,,,,,,,,,96,
17.322415,clReleaseEvent|General,START,,,,,,,,,,,97,
17.324685,clReleaseEvent|General,END,,,,,,,,,,,97,
17.326895,clReleaseEvent|General,START,,,,,,,,,,,98,
17.329165,clReleaseEvent|General,END,,,,,,,,,,,98,
17.430596,clReleaseEvent|General,START,,,,,,,,,,,99,
17.434306,clReleaseEvent|General,END,,,,,,,,,,,99,
