Timeline Trace
Generated on: 2022-04-13 19:04:45
Msec since Epoch: 1649844285372
Profiled application: app.exe
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.743
Build version branch: 2020.2
Build version hash: 77d5484b5c4daa691a7f78235053fb036829b1e9
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
2.664978,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
2.677518,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
2.683038,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
2.685669,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
2.688609,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
2.691049,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
2.693519,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
2.695639,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
2.698809,clGetPlatformInfo|General,START,,,,,,,,,,,4,
2.701609,clGetPlatformInfo|General,END,,,,,,,,,,,4,
2.703829,clGetPlatformInfo|General,START,,,,,,,,,,,5,
2.706249,clGetPlatformInfo|General,END,,,,,,,,,,,5,
2.708519,clGetPlatformInfo|General,START,,,,,,,,,,,6,
2.710789,clGetPlatformInfo|General,END,,,,,,,,,,,6,
2.712879,clGetPlatformInfo|General,START,,,,,,,,,,,7,
2.715069,clGetPlatformInfo|General,END,,,,,,,,,,,7,
2.723119,clGetPlatformInfo|General,START,,,,,,,,,,,8,
2.725489,clGetPlatformInfo|General,END,,,,,,,,,,,8,
2.728049,clGetPlatformInfo|General,START,,,,,,,,,,,9,
2.730229,clGetPlatformInfo|General,END,,,,,,,,,,,9,
2.740529,clGetDeviceIDs|General,START,,,,,,,,,,,10,
2.744229,clGetDeviceIDs|General,END,,,,,,,,,,,10,
2.747079,clGetDeviceIDs|General,START,,,,,,,,,,,11,
2.749469,clGetDeviceIDs|General,END,,,,,,,,,,,11,
2.754629,clRetainDevice|General,START,,,,,,,,,,,12,
2.757199,clRetainDevice|General,END,,,,,,,,,,,12,
2.759859,clRetainDevice|General,START,,,,,,,,,,,13,
2.762119,clRetainDevice|General,END,,,,,,,,,,,13,
2.764389,clCreateContext|General,START,,,,,,,,,,,14,
2.7854,clCreateContext|General,END,,,,,,,,,,,14,
11.432763,clCreateProgramWithBinary|General,START,,,,,,,,,,,15,
35754.46562,clCreateProgramWithBinary|General,END,,,,,,,,,,,15,
35754.49231,clCreateCommandQueue|General,START,,,,,,,,,,,16,
35754.50221,clCreateCommandQueue|General,END,,,,,,,,,,,16,
35754.50635,clCreateKernel|General,START,,,,,,,,,,,17,
35754.91183,clCreateKernel|General,END,,,,,,,,,,,17,
35754.91514,clCreateBuffer|General,START,,,,,,,,,,,18,
35754.92158,clCreateBuffer|General,END,,,,,,,,,,,18,
35754.92401,clCreateBuffer|General,START,,,,,,,,,,,19,
35754.92689,clCreateBuffer|General,END,,,,,,,,,,,19,
35754.92921,clCreateBuffer|General,START,,,,,,,,,,,20,
35754.93179,clCreateBuffer|General,END,,,,,,,,,,,20,
35754.93407,clCreateBuffer|General,START,,,,,,,,,,,21,
35754.93654,clCreateBuffer|General,END,,,,,,,,,,,21,
35754.93876,clCreateBuffer|General,START,,,,,,,,,,,22,
35754.94127,clCreateBuffer|General,END,,,,,,,,,,,22,
35754.94391,clSetKernelArg|General,START,,,,,,,,,,,23,
35758.0084,clSetKernelArg|General,END,,,,,,,,,,,23,
35758.02397,clEnqueueMapBuffer|94871674880432,START,,,,,,,,,,,24,
35758.15005,clEnqueueMapBuffer|94871674880432,END,,,,,,,,,,,24,
35760.70761,clSetKernelArg|General,START,,,,,,,,,,,25,
35760.71514,clSetKernelArg|General,END,,,,,,,,,,,25,
35760.71782,clSetKernelArg|General,START,,,,,,,,,,,26,
