Timeline Trace
Generated on: 2022-04-13 14:23:57
Msec since Epoch: 1649827437127
Profiled application: app.exe
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.743
Build version branch: 2020.2
Build version hash: 77d5484b5c4daa691a7f78235053fb036829b1e9
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
4.124462,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
4.134972,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
4.140502,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
4.143052,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
4.146832,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
4.149322,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
4.151772,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
4.153902,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
4.156382,clGetPlatformInfo|General,START,,,,,,,,,,,4,
4.159163,clGetPlatformInfo|General,END,,,,,,,,,,,4,
4.161363,clGetPlatformInfo|General,START,,,,,,,,,,,5,
4.163623,clGetPlatformInfo|General,END,,,,,,,,,,,5,
4.165883,clGetPlatformInfo|General,START,,,,,,,,,,,6,
4.168143,clGetPlatformInfo|General,END,,,,,,,,,,,6,
4.170233,clGetPlatformInfo|General,START,,,,,,,,,,,7,
4.172383,clGetPlatformInfo|General,END,,,,,,,,,,,7,
4.178803,clGetPlatformInfo|General,START,,,,,,,,,,,8,
4.181163,clGetPlatformInfo|General,END,,,,,,,,,,,8,
4.183693,clGetPlatformInfo|General,START,,,,,,,,,,,9,
4.186003,clGetPlatformInfo|General,END,,,,,,,,,,,9,
4.196603,clGetDeviceIDs|General,START,,,,,,,,,,,10,
4.200303,clGetDeviceIDs|General,END,,,,,,,,,,,10,
4.203033,clGetDeviceIDs|General,START,,,,,,,,,,,11,
4.205433,clGetDeviceIDs|General,END,,,,,,,,,,,11,
4.210773,clRetainDevice|General,START,,,,,,,,,,,12,
4.213383,clRetainDevice|General,END,,,,,,,,,,,12,
4.216073,clRetainDevice|General,START,,,,,,,,,,,13,
4.218293,clRetainDevice|General,END,,,,,,,,,,,13,
4.220553,clCreateContext|General,START,,,,,,,,,,,14,
4.237873,clCreateContext|General,END,,,,,,,,,,,14,
4.429476,clCreateProgramWithBinary|General,START,,,,,,,,,,,15,
9.53106,clCreateProgramWithBinary|General,END,,,,,,,,,,,15,
9.5402,clCreateCommandQueue|General,START,,,,,,,,,,,16,
9.551211,clCreateCommandQueue|General,END,,,,,,,,,,,16,
9.554031,clCreateKernel|General,START,,,,,,,,,,,17,
9.930475,clCreateKernel|General,END,,,,,,,,,,,17,
9.933355,clCreateBuffer|General,START,,,,,,,,,,,18,
9.938325,clCreateBuffer|General,END,,,,,,,,,,,18,
9.940605,clCreateBuffer|General,START,,,,,,,,,,,19,
9.943335,clCreateBuffer|General,END,,,,,,,,,,,19,
9.945525,clCreateBuffer|General,START,,,,,,,,,,,20,
9.947925,clCreateBuffer|General,END,,,,,,,,,,,20,
9.950085,clCreateBuffer|General,START,,,,,,,,,,,21,
9.952525,clCreateBuffer|General,END,,,,,,,,,,,21,
9.954665,clCreateBuffer|General,START,,,,,,,,,,,22,
9.957056,clCreateBuffer|General,END,,,,,,,,,,,22,
9.959656,clSetKernelArg|General,START,,,,,,,,,,,23,
9.981576,clSetKernelArg|General,END,,,,,,,,,,,23,
9.984496,clEnqueueMapBuffer|94662808581968,START,,,,,,,,,,,24,
10.084237,clEnqueueMapBuffer|94662808581968,END,,,,,,,,,,,24,
12.631959,clSetKernelArg|General,START,,,,,,,,,,,25,
12.635519,clSetKernelArg|General,END,,,,,,,,,,,25,
12.637859,clSetKernelArg|General,START,,,,,,,,,,,26,
12.656289,clSetKernelArg|General,END,,,,,,,,,,,26,
12.658869,clSetKernelArg|General,START,,,,,,,,,,,27,
12.671999,clSetKernelArg|General,END,,,,,,,,,,,27,
12.674479,clSetKernelArg|General,START,,,,,,,,,,,28,
12.686639,clSetKernelArg|General,END,,,,,,,,,,,28,
12.689139,clSetKernelArg|General,START,,,,,,,,,,,29,
12.75736,clSetKernelArg|General,END,,,,,,,,,,,29,
12.76168,clRetainMemObject|General,START,,,,,,,,,,,30,
12.764891,clRetainMemObject|General,END,,,,,,,,,,,30,
12.767371,clRetainMemObject|General,START,,,,,,,,,,,31,
12.769951,clRetainMemObject|General,END,,,,,,,,,,,31,
12.772231,clRetainMemObject|General,START,,,,,,,,,,,32,
12.774681,clRetainMemObject|General,END,,,,,,,,,,,32,
12.776941,clRetainMemObject|General,START,,,,,,,,,,,33,
12.779321,clRetainMemObject|General,END,,,,,,,,,,,33,
12.782011,clRetainMemObject|General,START,,,,,,,,,,,34,
12.784401,clRetainMemObject|General,END,,,,,,,,,,,34,
12.786691,clRetainMemObject|General,START,,,,,,,,,,,35,
12.789001,clRetainMemObject|General,END,,,,,,,,,,,35,
12.791261,clRetainMemObject|General,START,,,,,,,,,,,36,
12.793611,clRetainMemObject|General,END,,,,,,,,,,,36,
12.795871,clRetainMemObject|General,START,,,,,,,,,,,37,
12.798181,clRetainMemObject|General,END,,,,,,,,,,,37,
12.801221,clEnqueueMigrateMemObjects|94662808581968,START,,,,,,,,,,,38,
12.808291,WRITE_BUFFER,QUEUE,0X1000|Unknown,521024,,,,,,,,,
12.813991,WRITE_BUFFER,SUBMIT,0X1000|Unknown,521024,,,,,,,,,
12.820661,clEnqueueMigrateMemObjects|94662808581968,END,,,,,,,,,,,38,
12.823941,clReleaseMemObject|General,START,,,,,,,,,,,39,
12.826931,clReleaseMemObject|General,END,,,,,,,,,,,39,
12.829441,clReleaseMemObject|General,START,,,,,,,,,,,40,
12.831941,clReleaseMemObject|General,END,,,,,,,,,,,40,
12.834201,clReleaseMemObject|General,START,,,,,,,,,,,41,
12.836621,clReleaseMemObject|General,END,,,,,,,,,,,41,
12.838861,clReleaseMemObject|General,START,,,,,,,,,,,42,
12.839011,WRITE_BUFFER,START,0X1000|Unknown|0X7fd9c2ffd700,521024,,,,,,,1,None,
12.842081,clReleaseMemObject|General,END,,,,,,,,,,,42,
12.859892,clReleaseMemObject|General,START,,,,,,,,,,,43,
12.862372,clReleaseMemObject|General,END,,,,,,,,,,,43,
12.864642,clReleaseMemObject|General,START,,,,,,,,,,,44,
12.866962,clReleaseMemObject|General,END,,,,,,,,,,,44,
12.869212,clReleaseMemObject|General,START,,,,,,,,,,,45,
12.871552,clReleaseMemObject|General,END,,,,,,,,,,,45,
12.873802,clReleaseMemObject|General,START,,,,,,,,,,,46,
12.876122,clReleaseMemObject|General,END,,,,,,,,,,,46,
12.878552,clEnqueueTask|94662808581968,START,,,,,,,,,,,47,
12.886142,DEPENDENCY_EVENT,,1,2,
12.889012,WRITE_BUFFER,QUEUE,0X2000|Unknown,520512,,,,,,,,,
12.892582,DEPENDENCY_EVENT,,2,3,
12.898372,DEPENDENCY_EVENT,,2,3,
12.907292,KERNEL|xilinx_u200_xdma_201830_2-0|table_serch|table_serch|1:1:1|all,QUEUE,0X561867158F30,1,,,,,,,,,
12.914672,clEnqueueTask|94662808581968,END,,,,,,,,,,,47,
12.917572,clRetainMemObject|General,START,,,,,,,,,,,48,
12.920272,clRetainMemObject|General,END,,,,,,,,,,,48,
12.922772,clRetainMemObject|General,START,,,,,,,,,,,49,
12.925073,clRetainMemObject|General,END,,,,,,,,,,,49,
12.929122,clEnqueueMigrateMemObjects|94662808581968,START,,,,,,,,,,,50,
12.933833,DEPENDENCY_EVENT,,3,4,
12.935613,READ_BUFFER,QUEUE,0X82000|Unknown,4,,,,,,,,,
12.938713,clEnqueueMigrateMemObjects|94662808581968,END,,,,,,,,,,,50,
12.941413,clReleaseMemObject|General,START,,,,,,,,,,,51,
12.943983,clReleaseMemObject|General,END,,,,,,,,,,,51,
12.946373,clReleaseMemObject|General,START,,,,,,,,,,,52,
12.948703,clReleaseMemObject|General,END,,,,,,,,,,,52,
12.951103,clFinish|General,START,,,,,,,,,,,53,
