Timeline Trace
Generated on: 2022-05-18 14:29:13
Msec since Epoch: 1652851753255
Profiled application: app.exe
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.743
Build version branch: 2020.2
Build version hash: 77d5484b5c4daa691a7f78235053fb036829b1e9
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
1.390585,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
1.400586,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
1.404917,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
1.407277,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
1.409997,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
1.412218,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
1.414538,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
1.416508,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
1.418819,clGetPlatformInfo|General,START,,,,,,,,,,,4,
1.421419,clGetPlatformInfo|General,END,,,,,,,,,,,4,
1.424489,clGetPlatformInfo|General,START,,,,,,,,,,,5,
1.426649,clGetPlatformInfo|General,END,,,,,,,,,,,5,
1.42877,clGetPlatformInfo|General,START,,,,,,,,,,,6,
1.43091,clGetPlatformInfo|General,END,,,,,,,,,,,6,
1.43287,clGetPlatformInfo|General,START,,,,,,,,,,,7,
1.43485,clGetPlatformInfo|General,END,,,,,,,,,,,7,
1.441511,clGetPlatformInfo|General,START,,,,,,,,,,,8,
1.443682,clGetPlatformInfo|General,END,,,,,,,,,,,8,
1.446052,clGetPlatformInfo|General,START,,,,,,,,,,,9,
1.448062,clGetPlatformInfo|General,END,,,,,,,,,,,9,
1.458984,clGetDeviceIDs|General,START,,,,,,,,,,,10,
1.462854,clGetDeviceIDs|General,END,,,,,,,,,,,10,
1.465524,clGetDeviceIDs|General,START,,,,,,,,,,,11,
1.467765,clGetDeviceIDs|General,END,,,,,,,,,,,11,
1.470535,clRetainDevice|General,START,,,,,,,,,,,12,
1.472865,clRetainDevice|General,END,,,,,,,,,,,12,
1.475426,clRetainDevice|General,START,,,,,,,,,,,13,
1.477496,clRetainDevice|General,END,,,,,,,,,,,13,
1.480686,clCreateContext|General,START,,,,,,,,,,,14,
12.899374,clCreateContext|General,END,,,,,,,,,,,14,
24.362208,clCreateProgramWithBinary|General,START,,,,,,,,,,,15,
61.21051,clCreateProgramWithBinary|General,END,,,,,,,,,,,15,
61.224752,clCreateCommandQueue|General,START,,,,,,,,,,,16,
